dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1923-09-01,26.983,0.77,Acre,Brazil
1923-10-01,26.291,0.822,Acre,Brazil
1923-11-01,26.081,0.705,Acre,Brazil
1923-12-01,25.673,0.583,Acre,Brazil
1924-01-01,26.817,0.779,Acre,Brazil
1924-02-01,25.962,0.641,Acre,Brazil
1924-03-01,26.383,0.74,Acre,Brazil
1924-04-01,25.902,0.55,Acre,Brazil
1924-05-01,25.478,0.505,Acre,Brazil
1924-06-01,24.581,0.597,Acre,Brazil
1924-07-01,24.326,0.694,Acre,Brazil
1924-08-01,25.204,0.677,Acre,Brazil
1924-09-01,25.81,0.556,Acre,Brazil
1924-10-01,25.318,0.627,Acre,Brazil
1924-11-01,25.892,0.895,Acre,Brazil
1924-12-01,25.278,0.539,Acre,Brazil
1925-01-01,25.057,0.543,Acre,Brazil
1925-02-01,24.817,0.784,Acre,Brazil
1925-03-01,25.02,0.625,Acre,Brazil
1925-04-01,25.574,0.537,Acre,Brazil
1925-05-01,25.863,0.528,Acre,Brazil
1925-06-01,24.424,0.558,Acre,Brazil
1925-07-01,24.353,0.723,Acre,Brazil
1925-08-01,25.873,0.586,Acre,Brazil
1925-09-01,26.674,0.883,Acre,Brazil
1925-10-01,26.851,0.533,Acre,Brazil
1925-11-01,26.504,0.798,Acre,Brazil
1925-12-01,26.297,0.516,Acre,Brazil
1926-01-01,26.43,0.641,Acre,Brazil
1926-02-01,26.3,0.657,Acre,Brazil
1926-03-01,26.411,0.668,Acre,Brazil
1926-04-01,26.315,0.67,Acre,Brazil
1926-05-01,25.518,0.623,Acre,Brazil
1926-06-01,25.191,0.647,Acre,Brazil
1926-07-01,24.809,0.809,Acre,Brazil
1926-08-01,26.068,0.6,Acre,Brazil
1926-09-01,26.765,0.729,Acre,Brazil
1926-10-01,26.866,0.691,Acre,Brazil
1926-11-01,26.896,0.714,Acre,Brazil
1926-12-01,26.135,0.647,Acre,Brazil
1927-01-01,25.767,0.637,Acre,Brazil
1927-02-01,25.651,0.549,Acre,Brazil
1927-03-01,25.469,0.668,Acre,Brazil
1927-04-01,25.574,0.526,Acre,Brazil
1927-05-01,25.106,0.528,Acre,Brazil
1927-06-01,24.517,0.687,Acre,Brazil
1927-07-01,23.886,1.495,Acre,Brazil
1927-08-01,25.664,0.663,Acre,Brazil
1927-09-01,26.58,0.906,Acre,Brazil
1927-10-01,26.776,0.713,Acre,Brazil
1927-11-01,26.882,0.699,Acre,Brazil
1927-12-01,26.303,0.507,Acre,Brazil
1928-01-01,26.408,0.605,Acre,Brazil
1928-02-01,26.375,0.914,Acre,Brazil
1928-03-01,25.9,0.629,Acre,Brazil
1928-04-01,25.609,0.551,Acre,Brazil
1928-05-01,25.784,0.92,Acre,Brazil
1928-06-01,25.195,0.66,Acre,Brazil
1928-07-01,24.851,0.721,Acre,Brazil
1928-08-01,25.702,0.733,Acre,Brazil
1928-09-01,26.422,0.693,Acre,Brazil
1928-10-01,26.257,0.56,Acre,Brazil
1928-11-01,26.692,0.728,Acre,Brazil
1928-12-01,25.959,0.669,Acre,Brazil
1929-01-01,25.968,0.662,Acre,Brazil
1929-02-01,25.723,0.461,Acre,Brazil
1929-03-01,25.976,0.761,Acre,Brazil
1929-04-01,25.749,0.736,Acre,Brazil
1929-05-01,25.198,0.764,Acre,Brazil
1929-06-01,24.589,0.549,Acre,Brazil
1929-07-01,24.361,0.834,Acre,Brazil
1929-08-01,25.531,0.654,Acre,Brazil
1929-09-01,26.013,0.597,Acre,Brazil
1929-10-01,25.748,0.633,Acre,Brazil
1929-11-01,26.038,0.681,Acre,Brazil
1929-12-01,25.426,0.462,Acre,Brazil
1930-01-01,25.583,0.544,Acre,Brazil
1930-02-01,25.887,0.725,Acre,Brazil
1930-03-01,25.871,0.775,Acre,Brazil
1930-04-01,25.414,0.367,Acre,Brazil
1930-05-01,25.066,0.467,Acre,Brazil
1930-06-01,24.727,0.513,Acre,Brazil
1930-07-01,24.514,0.58,Acre,Brazil
1930-08-01,25.632,0.471,Acre,Brazil
1930-09-01,25.99,0.89,Acre,Brazil
1930-10-01,26.629,0.649,Acre,Brazil
