Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1936-03-01,-2.453,0.357,Moskva,Russia
1936-04-01,4.117,0.321,Moskva,Russia
1936-05-01,12.31,0.303,Moskva,Russia
1936-06-01,18.949,0.267,Moskva,Russia
1936-07-01,22.122,0.383,Moskva,Russia
1936-08-01,17.626,0.35,Moskva,Russia
1936-09-01,10.247,0.434,Moskva,Russia
1936-10-01,2.002,0.344,Moskva,Russia
1936-11-01,-0.142,0.417,Moskva,Russia
1936-12-01,-2.758,0.359,Moskva,Russia
1937-01-01,-11.701,0.516,Moskva,Russia
1937-02-01,-7.58,0.373,Moskva,Russia
1937-03-01,-1.581,0.381,Moskva,Russia
1937-04-01,7.285,0.332,Moskva,Russia
1937-05-01,11.727,0.26,Moskva,Russia
1937-06-01,17.228,0.632,Moskva,Russia
1937-07-01,17.983,0.254,Moskva,Russia
1937-08-01,17.711,0.335,Moskva,Russia
1937-09-01,14.065,0.335,Moskva,Russia
1937-10-01,5.555,0.24,Moskva,Russia
1937-11-01,-0.469,0.553,Moskva,Russia
1937-12-01,-8.168,0.43,Moskva,Russia
1938-01-01,-9.254,0.394,Moskva,Russia
1938-02-01,-6.688,0.44,Moskva,Russia
1938-03-01,-1.211,0.357,Moskva,Russia
1938-04-01,3.949,0.373,Moskva,Russia
1938-05-01,11.995,0.33,Moskva,Russia
1938-06-01,15.812,0.291,Moskva,Russia
1938-07-01,22.439,0.537,Moskva,Russia
1938-08-01,20.757,0.497,Moskva,Russia
1938-09-01,14.791,0.279,Moskva,Russia
1938-10-01,6.051,0.313,Moskva,Russia
1938-11-01,2.437,0.428,Moskva,Russia
1938-12-01,-10.539,0.264,Moskva,Russia
1939-01-01,-9.038,0.339,Moskva,Russia
1939-02-01,-4.867,0.431,Moskva,Russia
1939-03-01,-3.858,0.32,Moskva,Russia
1939-04-01,3.138,0.388,Moskva,Russia
1939-05-01,11.284,0.487,Moskva,Russia
1939-06-01,17.323,0.349,Moskva,Russia
1939-07-01,19.733,0.393,Moskva,Russia
1939-08-01,18.45,0.487,Moskva,Russia
1939-09-01,8.521,0.262,Moskva,Russia
1939-10-01,1.634,0.296,Moskva,Russia
1939-11-01,-0.45,0.371,Moskva,Russia
1939-12-01,-7.281,0.343,Moskva,Russia
1940-01-01,-19.162,0.294,Moskva,Russia
1940-02-01,-12.649,0.677,Moskva,Russia
1940-03-01,-5.996,0.416,Moskva,Russia
1940-04-01,2.745,0.3,Moskva,Russia
1940-05-01,12.161,0.515,Moskva,Russia
1940-06-01,15.573,0.271,Moskva,Russia
1940-07-01,19.044,0.29,Moskva,Russia
1940-08-01,17.893,0.448,Moskva,Russia
1940-09-01,12.69,0.35,Moskva,Russia
1940-10-01,2.264,0.304,Moskva,Russia
1940-11-01,1.213,0.335,Moskva,Russia
1940-12-01,-8.008,0.421,Moskva,Russia
1941-01-01,-14.728,0.631,Moskva,Russia
1941-02-01,-10.403,0.382,Moskva,Russia
1941-03-01,-6.809,0.42,Moskva,Russia
1941-04-01,1.05,0.444,Moskva,Russia
1941-05-01,7.446,0.4,Moskva,Russia
1941-06-01,12.503,0.295,Moskva,Russia
1941-07-01,20.371,0.323,Moskva,Russia
1941-08-01,16.88,0.359,Moskva,Russia
1941-09-01,9.153,0.39,Moskva,Russia
1941-10-01,1.852,0.451,Moskva,Russia
1941-11-01,-5.724,0.613,Moskva,Russia
1941-12-01,-12.375,0.495,Moskva,Russia
1942-01-01,-19.693,0.846,Moskva,Russia
1942-02-01,-12.099,0.42,Moskva,Russia
1942-03-01,-10.364,0.472,Moskva,Russia
1942-04-01,2.375,0.436,Moskva,Russia
1942-05-01,11.58,0.448,Moskva,Russia
1942-06-01,14.24,0.373,Moskva,Russia
1942-07-01,17.815,0.382,Moskva,Russia
1942-08-01,16.357,0.33,Moskva,Russia
1942-09-01,10.766,0.397,Moskva,Russia
1942-10-01,5.909,0.309,Moskva,Russia
1942-11-01,-4.097,0.291,Moskva,Russia
1942-12-01,-7.539,0.459,Moskva,Russia
1943-01-01,-14.89,0.778,Moskva,Russia
1943-02-01,-6.97,0.464,Moskva,Russia
1943-03-01,-3.369,0.713,Moskva,Russia
1943-04-01,6.175,0.305,Moskva,Russia
1943-05-01,12.526,0.339,Moskva,Russia
1943-06-01,15.998,0.319,Moskva,Russia
1943-07-01,17.805,0.33,Moskva,Russia
1943-08-01,16.703,0.311,Moskva,Russia
1943-09-01,10.732,0.342,Moskva,Russia
1943-10-01,5.518,0.402,Moskva,Russia
1943-11-01,-0.633,0.415,Moskva,Russia
1943-12-01,-3.996,0.427,Moskva,Russia
1944-01-01,-4.121,0.354,Moskva,Russia
1944-02-01,-6.052,0.296,Moskva,Russia
1944-03-01,-2.508,0.319,Moskva,Russia
1944-04-01,1.673,0.511,Moskva,Russia
1944-05-01,11.83,0.365,Moskva,Russia
1944-06-01,15.092,0.311,Moskva,Russia
1944-07-01,17.923,0.326,Moskva,Russia
1944-08-01,15.889,0.358,Moskva,Russia
1944-09-01,12.853,0.301,Moskva,Russia
1944-10-01,5.207,0.315,Moskva,Russia
1944-11-01,-2.018,0.404,Moskva,Russia
1944-12-01,-8.9,0.422,Moskva,Russia
1945-01-01,-11.029,0.565,Moskva,Russia
1945-02-01,-10.079,0.538,Moskva,Russia
1945-03-01,-6.403,0.454,Moskva,Russia
1945-04-01,2.942,0.438,Moskva,Russia
1945-05-01,8.354,0.615,Moskva,Russia
1945-06-01,15.139,0.394,Moskva,Russia
1945-07-01,17.976,0.347,Moskva,Russia
1945-08-01,17.489,0.315,Moskva,Russia
1945-09-01,10.636,0.417,Moskva,Russia
1945-10-01,2.343,0.39,Moskva,Russia
1945-11-01,-3.13,0.314,Moskva,Russia
1945-12-01,-10.536,0.801,Moskva,Russia
1946-01-01,-8.466,0.486,Moskva,Russia
1946-02-01,-9.005,0.381,Moskva,Russia
1946-03-01,-4.44,0.394,Moskva,Russia
1946-04-01,3.947,0.356,Moskva,Russia
1946-05-01,11.626,0.352,Moskva,Russia
1946-06-01,19.35,0.466,Moskva,Russia
1946-07-01,18.411,0.321,Moskva,Russia
1946-08-01,18.512,0.298,Moskva,Russia
1946-09-01,11.222,0.243,Moskva,Russia
1946-10-01,-0.177,0.242,Moskva,Russia
1946-11-01,-3.93,0.428,Moskva,Russia
1946-12-01,-8.296,0.418,Moskva,Russia
1947-01-01,-11.102,0.549,Moskva,Russia
1947-02-01,-14.232,0.405,Moskva,Russia
1947-03-01,-5.104,0.406,Moskva,Russia
1947-04-01,4.978,0.248,Moskva,Russia
